TransactionID,Transaction_Date,Total_Price,Quantity,CustomerID,ProductID,PMID,VoucherID,Voucher_status
1004689,17.03.21,33.291,1,12350,GGOEAAAJ032415,PM02,ELEC10,Used
1008838,30.01.21,17.982,1,12359,GGOEAAAJ032425,PM01,ELEC10,Used
1004098,29.01.21,38.99,1,12373,GGOEAAAJ032435,PM04,ELEC30,Clicked
1008599,08.05.21,44.982,2,12383,GGOEAAAJ032445,PM02,ELEC10,Used
1009828,18.03.21,1124.55,45,12393,GGOEAAAJ032455,PM01,OFF20,Clicked
1004612,13.05.21,17.802,3,12410,GGOEWEBB082199,PM04,ELEC40,Used
1004683,21.12.21,5.934,1,12414,GGOEWEBB082199,PM03,ELEC40,Used
1000038,24.04.21,5.934,1,12431,GGOEWEBB082199,PM03,ELEC40,Used
1003943,23.07.21,47.472,8,12433,GGOEWEBB082199,PM03,ELEC40,Used
1004678,15.06.21,5.934,1,12437,GGOEWEBB082199,PM02,ELEC40,Used
1007704,21.03.21,5.934,1,12464,GGOEWEBB082199,PM03,ELEC40,Used
1001689,15.07.21,33.291,1,12471,GGOEAAAJ032415,PM01,ELEC10,Used
1003781,25.01.21,33.291,1,12472,GGOEAAAJ032415,PM01,ELEC10,Used
1009730,14.05.21,33.291,1,12474,GGOEAAAJ032415,PM02,ELEC10,Used
1004404,19.12.21,66.582,2,12477,GGOEAAAJ032415,PM02,ELEC10,Used
1009664,27.09.21,33.291,1,12480,GGOEAAAJ032415,PM01,ELEC10,Used
1008437,25.09.21,33.291,1,12481,GGOEAAAJ032415,PM01,ELEC10,Used
1009858,10.01.21,33.291,1,12484,GGOEAAAJ032415,PM02,ELEC10,Used
1009444,28.11.21,99.873,3,12489,GGOEAAAJ032415,PM01,ELEC10,Used
1009738,24.05.21,33.291,1,12490,GGOEAAAJ032415,PM02,ELEC10,Used
1008465,10.07.21,33.291,1,12501,GGOEAAAJ032415,PM02,ELEC10,Used
1005021,08.08.21,35.964,2,12502,GGOEAAAJ032425,PM01,ELEC10,Used
1005022,12.07.21,17.982,1,12503,GGOEAAAJ032425,PM03,ELEC10,Used
1005023,04.07.21,17.982,1,12504,GGOEAAAJ032425,PM03,ELEC10,Used
1005024,03.08.21,35.964,2,12505,GGOEAAAJ032425,PM03,ELEC10,Used
1005025,17.01.21,17.982,1,12506,GGOEAAAJ032425,PM01,ELEC10,Used
1005026,30.01.21,89.91,5,12507,GGOEAAAJ032425,PM01,ELEC10,Used
1005027,05.11.21,17.982,1,12508,GGOEAAAJ032425,PM03,ELEC10,Used
1005028,28.05.21,17.982,1,12509,GGOEAAAJ032425,PM01,ELEC10,Used
1005029,12.09.21,38.99,1,12510,GGOEAAAJ032435,PM04,ELEC30,Clicked
1005030,18.08.21,38.99,1,12511,GGOEAAAJ032435,PM03,ELEC30,Not Used
1005031,28.05.21,155.96,4,12512,GGOEAAAJ032435,PM03,ELEC30,Not Used
1005032,15.09.21,38.99,1,12513,GGOEAAAJ032435,PM01,ELEC30,Not Used
1005033,23.06.21,38.99,1,12514,GGOEAAAJ032435,PM04,ELEC30,Clicked
1005034,28.01.21,233.94,6,12515,GGOEAAAJ032435,PM03,ELEC30,Clicked
1005035,18.06.21,38.99,1,12516,GGOEAAAJ032435,PM04,ELEC30,Not Used
1005036,09.09.21,38.99,1,12517,GGOEAAAJ032435,PM01,ELEC30,Not Used
1005801,30.11.21,389.9,10,12518,GGOEAAAJ032435,PM03,ELEC30,Clicked
1005802,28.06.21,38.99,1,12519,GGOEAAAJ032435,PM04,ELEC30,Clicked
1005803,13.10.21,38.99,1,12520,GGOEAAAJ032435,PM04,ELEC30,Not Used
1005804,09.03.21,38.99,1,12521,GGOEAAAJ032435,PM03,ELEC30,Not Used
1006944,06.05.21,134.946,6,12522,GGOEAAAJ032445,PM02,ELEC10,Used
1006945,24.02.21,44.982,2,12523,GGOEAAAJ032445,PM02,ELEC10,Used
1006946,01.04.21,22.491,1,12524,GGOEAAAJ032445,PM03,ELEC10,Used
1007586,14.03.21,22.491,1,12525,GGOEAAAJ032445,PM02,ELEC10,Used
1008177,05.03.21,22.491,1,12526,GGOEAAAJ032445,PM01,ELEC10,Used
1008178,20.03.21,175.89,11,12527,GGOEWEBB082299,PM03,ELEC10,Not Used
1008179,17.10.21,15.99,1,12528,GGOEWEBB082299,PM01,ELEC10,Clicked
1008180,10.11.21,15.99,1,12529,GGOEWEBB082299,PM01,ELEC10,Clicked
1008181,21.06.21,15.99,1,12530,GGOEWEBB082299,PM03,ELEC10,Not Used
1008182,10.12.21,47.97,3,12531,GGOEWEBB082299,PM03,ELEC10,Not Used
1008183,11.11.21,15.99,1,12532,GGOEWEBB082299,PM01,ELEC10,Clicked
1000219,16.06.21,19.95,1,14606,GGOEYDHJ056049,PM01,ELEC10,Not Used
1000220,21.09.21,59.85,3,14607,GGOEYDHJ056049,PM01,ELEC10,Not Used
1000221,23.10.21,19.95,1,14608,GGOEYDHJ056049,PM02,ELEC10,Clicked
1000222,11.04.21,55,1,14609,GGOEYDHJ056059,PM04,ELEC10,Not Used
1000223,17.08.21,55,1,14610,GGOEYDHJ056059,PM04,ELEC10,Clicked
1000224,07.08.21,385,7,14611,GGOEYDHJ056059,PM01,ELEC10,Not Used
1000225,19.11.21,55,1,14612,GGOEYDHJ056059,PM01,ELEC10,Clicked
1000227,30.09.21,124.95,5,14614,GGOEAAAJ032455,PM02,OFF20,Clicked
1000327,11.04.21,16.1405,1,14714,GGOEAFKQ020599,PM02,ELEC05,Used
1000328,28.09.21,102.48,12,14715,GGOEAFKQ020499,PM03,BT10,Not Used
1000329,14.02.21,11.99,1,14716,GGOEAFKQ020399,PM03,ELEC10,Clicked
1000330,07.04.21,6.49,1,14717,GGOEAFKQ020299,PM03,ELEC30,Not Used
1000331,09.09.21,8.99,1,14718,GGOEAFKQ020199,PM04,ELEC30,Not Used
1000332,10.11.21,17.98,2,14719,GGOEAFKQ020199,PM02,ELEC30,Clicked
