CustomerID,Gender,Locations,Age
12350,Male,California,43
12359,Male,New York,34
12373,Female,New York,25
12383,Male,New York,35
12393,Female,Chicago,38
12410,Male,California,41
12414,Male,New York,46
12431,Female,New Jersey,39
12433,Male,California,41
12437,Female,New Jersey,47
12464,Male,New York,22
12471,Female,California,31
12472,Female,New Jersey,33
12474,Female,New York,29
12477,Female,California,59
12480,Male,California,54
12481,Female,California,57
12484,Male,California,48
12489,Male,California,21
12490,Female,New York,54
12501,Male,Chicago,58
12502,Female,California,39
12503,Female,California,41
12504,Female,California,19
12505,Female,California,37
12506,Female,California,55
12507,Female,California,35
12508,Female,California,52
12509,Female,California,21
12510,Female,California,49
12511,Female,California,50
12512,Female,California,17
12513,Female,California,62
12514,Female,California,26
12515,Female,California,52
12516,Female,California,42
12517,Female,California,21
12518,Female,California,25
12519,Female,California,57
12520,Female,California,35
12521,Female,California,60
12522,Female,California,20
12523,Female,California,51
12524,Female,California,35
12525,Female,California,47
12526,Female,California,25
12527,Female,California,47
12528,Female,California,50
12529,Female,California,37
12530,Female,California,63
12531,Female,California,41
12532,Female,California,19
16218,Male,Chicago,57
16219,Male,Chicago,52
16220,Male,Chicago,55
16221,Male,Chicago,47
16222,Male,Chicago,36
16223,Male,Chicago,62
16224,Male,Chicago,50
16225,Male,Chicago,56
16226,Male,Chicago,20
16227,Male,Chicago,58
16228,Male,Chicago,46
16229,Female,California,37
16230,Female,California,46
16231,Female,California,62
16232,Female,California,63
16233,Female,California,63
16234,Female,California,59
16235,Female,California,23
16236,Female,California,44
16237,Female,California,31
16238,Female,California,53
16239,Female,California,35
16240,Female,California,47
16241,Female,California,34
16242,Female,California,52
16243,Female,California,26
16244,Female,California,17
16245,Female,California,37
16246,Female,California,52
16247,Female,California,54
16248,Female,California,34
16249,Female,California,38
16250,Female,California,39
16251,Female,California,60
16252,Female,California,52
16253,Female,California,31
16254,Female,California,59
16255,Female,California,60
16256,Female,California,56
16257,Female,California,29
16258,Female,California,49
16259,Female,California,42
16260,Female,California,20
16261,Female,California,48
16262,Female,California,56
16263,Female,California,16
16264,Female,California,35
16265,Female,California,63
16266,Female,California,30
16267,Female,California,53
16268,Female,California,21
16269,Female,California,21
16270,Female,California,55
16271,Female,California,40
16272,Female,California,30
16273,Female,California,39
16274,Female,California,28
16275,Female,California,47
16276,Female,California,57
16277,Female,California,54
16278,Female,California,45
16279,Female,California,46
16280,Female,California,33
14606,Female,Chicago,22
14607,Female,Chicago,29
14608,Female,Chicago,32
14609,Female,Chicago,41
14610,Male,New York,50
14611,Male,New York,56
14612,Male,New York,30
14613,Male,California,41
14614,Male,California,30
14615,Male,California,23
14616,Male,California,54
14617,Male,California,45
14618,Male,California,43
14619,Male,California,29
14620,Male,California,35
14621,Male,California,29
14622,Male,California,29
14623,Male,New Jersey,40
14624,Male,New Jersey,53
14625,Male,New Jersey,47
14626,Female,New York,60
14627,Female,New York,36
14628,Female,New York,43
14629,Female,New York,63
14630,Female,New York,19
14631,Male,Chicago,26
14632,Male,Chicago,54
14633,Male,Chicago,16
14634,Male,Chicago,26
14635,Male,Chicago,48
14636,Male,Chicago,59
14637,Male,Chicago,20
14638,Male,Chicago,39
14639,Male,Chicago,47
14640,Male,Chicago,56
14641,Male,Chicago,20
14642,Male,Chicago,28
14643,Male,Chicago,38
14644,Male,Chicago,57
14645,Male,Chicago,35
14646,Male,Chicago,24
14647,Male,Chicago,40
14648,Male,Chicago,63
14649,Male,Chicago,19
14650,Male,Chicago,52
14651,Male,Chicago,56
14652,Male,Chicago,56
14653,Male,Chicago,47
14654,Male,California,42
14655,Male,California,27
14656,Male,California,43
14657,Male,California,54
14658,Male,California,52
14659,Male,California,19
14660,Male,California,22
14661,Male,California,49
14662,Male,California,35
14663,Male,California,47
14664,Male,California,44
14665,Male,California,35
14666,Male,California,24
14667,Female,Chicago,16
14668,Female,Chicago,27
14669,Female,Chicago,53
14670,Female,Chicago,26
14671,Female,Chicago,45
14672,Female,Chicago,39
14673,Female,Chicago,57
14674,Female,Chicago,42
14675,Female,New York,37
14676,Female,New York,58
14677,Female,New York,43
14678,Female,New York,24
14679,Female,New York,56
14680,Female,New York,62
14681,Female,New York,53
14682,Female,New York,45
14683,Female,New York,48
14684,Female,New York,16
14685,Female,New York,62
14686,Female,New York,22
14687,Female,New York,52
14688,Female,New York,18
14689,Female,New York,39
14690,Female,New York,57
14691,Female,New York,61
14692,Female,New York,17
14693,Female,New York,62
14694,Female,New York,50
14695,Female,New York,26
14696,Female,New York,49
14697,Male,California,63
14698,Male,California,23
14699,Male,California,63
14700,Male,California,59
14701,Male,California,60
14702,Male,California,25
14703,Male,California,50
14704,Male,California,52
14705,Male,California,19
14706,Female,Chicago,33
14707,Female,Chicago,45
14708,Female,Chicago,57
14709,Male,Chicago,45
14710,Male,Chicago,54
14711,Male,Chicago,62
14712,Male,Chicago,49
14713,Male,Chicago,63
14714,Male,Chicago,28
14715,Male,Chicago,50
14716,Male,Chicago,54
14717,Male,Chicago,46
14718,Male,Chicago,16
14719,Male,Chicago,49
14720,Male,Chicago,52
14721,Male,Chicago,47
